address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_est_value	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures
42386 Barbary St	Fremont	CA	94539	09/03/2019	4769.0	Single Family Residence	3.0	2.0	1204.0	6480.0	1963		1050000.0	1100085249	Alameda County, CA	525 047705100	21125.0	43519.0	64644.0	1269 (1.96 %)	3	59	40	103	4
5969 Keith Ave	Oakland	CA	94618	09/03/2019	4542.0	Duplex (2 units, any combination)	5.0	3.0	1831.0	4146.0	1913		1000000.0	1100089628	Alameda County, CA	048A705304700	125909.0	293789.0	419698.0	6958 (1.65 %)	3	308	307	310	4
42857 Everglades Park Dr	Fremont	CA	94538	09/03/2019	4570.0	Single Family Residence	5.0	3.0	1986.0	5700.0	1962		1006000.0	1100098408	Alameda County, CA	525 130500800	155648.0	401376.0	557024.0	7083 (1.27 %)	0	59	40	103	0
320 Caldecott Ln Unit 132	Oakland	CA	94618	09/03/2019	2339.0	Condominium	1.0	1.0	728.0		1998		515000.0	1100095315	Alameda County, CA	048H752137400	91718.0	214009.0	305727.0	5156 (1.68 %)	3	308	307	310	4
3706 Finnian Way	Dublin	CA	94568	09/03/2019	2898.0	Condominium	1.0	2.5	1401.0		2004		638000.0	1100093836	Alameda County, CA	985 003927300	174000.0	406000.0	580000.0	7988 (1.37 %)	3	33	18	70	4
Rose Dr	San Leandro	CA	94578	08/30/2019	2993.0	Residential - Vacant Land				1565.0			659000.0	1100095483	Alameda County, CA	077D141001702	6738.0	0.0	6738.0	168 (2.49 %)	0	123	79	226	4
1444 C St	Hayward	CA	94541	08/30/2019	4315.0	Single Family Residence	4.0	4.0	2364.0	8954.0	1895		950000.0	1100131214	Alameda County, CA	427 003605502	228338.0	532790.0	761128.0	9213 (1.21 %)	3	123	84	213	4
2610 Drytown Ave	Dublin	CA	94568	08/30/2019	4111.0	Residential - Vacant Land				2262.0			905000.0	1100125978	Alameda County, CA	985 012204300	194936.0	0.0	194936.0	2911 (1.49 %)	0	33	18	70	0
8626 G St	Oakland	CA	94621	08/30/2019	4315.0	Warehouse, Storage		0.5	2432.0	7245.0	1994		950000.0	1100133837	Alameda County, CA	042 428301402	155332.0	107619.0	262951.0	4953 (1.88 %)	0	308	307	310	0
5324 Belvedere St	Oakland	CA	94601	08/30/2019	3634.0	Quadruplex (4 units, any combination)	4.0	4.0	3312.0	5850.0	1936		800000.0	1100069900	Alameda County, CA	035 237701000	105811.0	41520.0	147331.0	3886 (2.63 %)	3	308	307	310	4
3911 Vicolo Ter	Fremont	CA	94538	08/30/2019	4315.0	Townhouse	2.0	2.5	1425.0	964.0	2014		950000.0	1100067222	Alameda County, CA	525 168303400	222125.0	518292.0	740417.0	9084 (1.22 %)	0	59	40	103	0
4700 Telegraph Ave	Oakland	CA	94609	08/30/2019	137405.0	Residential - Vacant Land				19550.0			30250000.0	1100119922	Alameda County, CA	013 115002300					0	308	307	310	0
