address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures	year_sold
477 Springbrook N # 97	Irvine	CA	92614	11/07/2019	3048.0	Condominium	3.0	3.0	1384.0		1984.0	671000.0	1101777566	Orange County, CA	93884174	81276.0	129956.0	211232.0	2356 (1.11 %)	3	30.0	22.0	48.0	4	2019
21126 Paseo Vereda	Lake Forest	CA	92630	11/07/2019	4065.0	Single Family Residence	4.0	3.0	2979.0	6825.0	1978.0	895000.0	1101766195	Orange County, CA	61001204	74063.0	213302.0	287365.0	2920 (1.01 %)	3	29.0	23.0	42.0	4	2019
30 Wakonda	Trabuco Canyon	CA	92679	11/07/2019	4111.0	Single Family Residence	4.0	4.0	3278.0	4950.0	1992.0	905000.0	1101730144	Orange County, CA	80471122	158045.0	343927.0	501972.0	5025 (1.00 %)	3	13.0	9.0	23.0	4	2019
1404 N Tustin Ave Unit Y3	Santa Ana	CA	92705	11/07/2019	834.0	Condominium	2.0	2.0	1364.0		1965.0	183500.0	1101768442	Orange County, CA	93448090	126965.0	108047.0	235012.0	2863 (1.21 %)	3	128.0	128.0	128.0	4	2019
500 Clubhouse Ave	Newport Beach	CA	92663	11/07/2019	8312.0	Multi-Family Dwellings						1830000.0	1101830525	Orange County, CA	42310122	569404.0	280247.0	849651.0	9431 (1.11 %)	3	49.0	31.0	90.0	4	2019
2361 S Cutty Way Unit 65	Anaheim	CA	92802	11/07/2019	2021.0	Condominium	2.0	3.0	1399.0		1981.0	445000.0	1101730774	Orange County, CA	93758065	54443.0	134308.0	188751.0	2457 (1.30 %)	3	88.0	71.0	127.0	4	2019
12 Denia	Laguna Niguel	CA	92677	11/07/2019	5741.0	Single Family Residence	4.0	3.0	3247.0	7392.0	1994.0	1264000.0	1101738892	Orange County, CA	65355111	213888.0	345805.0	559693.0	5609 (1.00 %)	3	29.0	26.0	35.0	4	2019
6962 Brightwood Ln Apt 26	Garden Grove	CA	92845	11/07/2019	1806.0	Condominium	2.0	2.0	1069.0		1984.0	397500.0	1101844830	Orange County, CA	93309115	51477.0	114989.0	166466.0	2267 (1.36 %)	3	76.0	57.0	122.0	4	2019
13202 Dunklee Ave	Garden Grove	CA	92840	11/07/2019	2916.0	Single Family Residence	3.0	2.0	1527.0	11544.0	1972.0	642000.0	1101731677	Orange County, CA	23110326	239557.0	124070.0	363627.0	4539 (1.24 %)	3	76.0	57.0	122.0	4	2019
180 Alicante Aisle # 200	Irvine	CA	92614	11/07/2019	2635.0	Condominium	2.0	2.0	1083.0		1987.0	580000.0	1101734545	Orange County, CA	93781261	414651.0	133688.0	548339.0	6425 (1.17 %)	3	30.0	22.0	48.0	4	2019
12102 Laguna St	Garden Grove	CA	92840	11/07/2019	5224.0	Multi-Family Dwellings			4014.0	7355.0	1965.0	1150000.0	1101868479	Orange County, CA	23101116	89331.0	192809.0	282140.0	4299 (1.52 %)	3	76.0	57.0	122.0	4	2019
799 Shadowgrove St	Brea	CA	92821	11/07/2019	3361.0	Single Family Residence	4.0	2.0	1999.0	8500.0	1977.0	740000.0	1101856192	Orange County, CA	30424215	40605.0	130236.0	170841.0	2253 (1.31 %)	3	86.0	73.0	118.0	4	2019
